post_id,post_date,group,parent_post_id,author,content
1329,2016-06-09,,327,nitsua49,I miss San Francisco here in Concord, I know it will be worse for me in Maine.,
1330,2016-12-13,,448,viperfish12,I hate Tom Cruise..,
1331,2015-07-30,,336,artykom,I love Paris Hilton..,
1332,2017-02-11,,300,nitsua49,i bet i am the first person ever to comment on your site from london-stinking-england!,
1333,2018-11-28,,177,odalv,what's up fam,
1334,2017-06-06,,321,aminox,smash that like button,
1335,2018-02-08,,214,artykom,A beautiful day in Shanghai, not too many days where you can see the blue sky in China anymore....,
1336,2018-08-30,,157,timequake,yeah, I'm already an hour away from T. O. so it's not close for me to go to kitchener or London which sucks...,
1337,2019-10-16,,210,sheik_yerbouti,oh san francisco was horrible to my skin.,
1338,2017-02-04,,302,maharnav,The Harvard band sucked also, but sucked less.,
1339,2018-11-21,,110,amateur07,I'm so glad I love Paris Hilton, too, or this would be excruciating.,
1340,2017-04-18,,246,craciun05,I love the London Little People, btw.,
1341,2019-04-30,,497,sudebala,I know you're way too smart and way too cool to let stupid UCLA get to you...,
1342,2016-09-08,,239,artykom,It seems to me that everything I want is in Seattle.,
1343,2015-12-30,,195,harmon758,I think it's pretty clear Angelina Jolie is an ignorant racist.,
1344,2018-05-12,,471,viperfish12,for as long as I can remember I've wanted Honda....,
1345,2015-02-16,,73,rps_1899,thank you to the hundred plus peeps that showed up to celebrate my birthday in this crappy seattle rain.,
1346,2018-07-26,,375,bischopscup,but the fact that it's in Boston kind of kills it, because Boston basically sucks....,
1347,2017-07-28,,63,harmon758,i hate the lakers..,
1348,2016-02-04,,69,rps_1899,This superb View London Christmas gift basket is...,
1349,2017-04-03,,126,bischopscup,i also can't trust a guy you thinks hillary clinton is attractive...,
1350,2015-12-05,,18,youralterego,I like Honda...,
1351,2018-05-13,,107,tahastanly,Angelina Jolie sucks.,
1352,2018-10-25,,467,sosobanane,I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.,
1353,2019-01-06,,208,f1984b,him and his stupid supercharged ATA gene, and his stupid supercharged hair.,
1354,2018-09-21,,247,sosobanane,Today, when Monkee was backing out of the Milpitas Library's parking lot, some old asian man driving a Toyota was driving the wrong way.,
1355,2016-02-20,,344,tahastanly,I've always hated the Geico  good news  campaign.,
1356,2015-03-17,,235,mohamadi46,I liked Tom Cruise until he dumped Nicole Kidman.,
1357,2017-12-02,,323,stethoscopes,I like Purdue University's computer lab!..,
1358,2018-03-11,,175,bischopscup,Angelina Jolie is incredibly beautiful and extremely sexy, even straight women find her attractive(,
1359,2018-11-06,,93,fsv,She also said she didnt miss her Thanksgiving because Geico was so great and he goes  MASHED POTATOES AND CRANBERRY SAUCE!!!!,
1360,2017-09-23,,467,cracking12345,boston is great: ).,
1361,2015-09-09,,108,piley159,Hyundai are GREAT ON GAS so i like your choice hehe..,
1362,2018-12-13,,186,viperfish12,I love the lakers even tho Trav makes fun of me.,
1363,2018-08-20,,230,youralterego,then again i hate tom cruise..,
1364,2017-08-28,,381,sudebala,Goodnight, Goodbye, JLL...-P. S. I hate Seattle, go to hell....,
1365,2015-08-10,,254,amateur07,I think at this moment i love San Francisco better than L. A..,
1366,2016-06-16,,53,cracking12345,Stupid UCLA....,
1367,2016-07-19,,322,hassan1365416,I love my 13 year old Toyota!..,
1368,2016-02-27,,317,sosobanane,I'm loving Shanghai > > > ^ _ ^.,
1369,2017-11-01,,355,fsv,I still like Tom Cruise.,
1370,2015-10-24,,69,amateur07,On a lighter note, I love my macbook.,
1371,2017-01-30,,90,youralterego,plus i got an angry phone call and from mastercard, so i have to figure out how to get some money on there pronto!.,
1372,2017-02-27,,345,tahastanly,That's why I most love the Harvard story:,
1373,2019-01-08,,412,stethoscopes,I love paris hilton...,
1374,2016-11-29,,81,cracking12345,I dreamt that I looked exactly like Angelina Jolie, which made me very happy.,
1375,2015-07-07,,201,maharnav,The history here goes back to the summer of 1992, when the San Francisco Giants were terrible.,
1376,2016-02-12,,465,citrus2014,Which makes me think I need AAA more than AA...,
1377,2017-12-27,,402,viperfish12,Awesome diner here @ Purdue...,
1378,2019-03-30,,54,aminox,THIS SONG SUCKSSSSSSS i hate paris hilton.....,
1379,2016-11-14,,393,hassan1365416,boston kinda sucked, but my cousin erica in connecticut and my auntie pearl and uncle milin were cool.,
1380,2017-05-22,,188,rps_1899,I love ucla.,
1381,2017-01-26,,152,citrus2014,be me or not that is not the question in its entirety ,
1382,2018-07-30,,358,hassan1365416,actually the only thing that i really like about purdue is my apartment....,
1383,2017-10-14,,299,timequake,I love Angelina Jolie.,
1384,2015-02-03,,342,mmarvin,Geico would be great, and I really hope that works out.,
1385,2016-04-04,,306,jerusseust,UCLA was stupid.,
1386,2015-12-30,,383,f1984b,actually the only thing that i really like about purdue is my apartment....,
1387,2015-05-27,,8,stethoscopes,but the fact that it's in Boston kind of kills it, because Boston basically sucks....,
1388,2018-12-13,,141,jerusseust,I used to like Tom Cruise but the Matt Lauer interview really turned me off.,
1389,2015-01-27,,320,timequake,baaa aaa aa hhs ~ today sucks, cause i mainly spent the whole t uesday sneezing and blowing on tissues..,
1390,2017-04-07,,253,tahastanly,I like my Sony VAIO, however, Dells are supposed to be good.,
1391,2016-02-11,,494,craciun05,It's about the MacBook Pro, which is awesome and I want one, but I have my beloved iBook, and believe you me, I love it..,
1392,2016-02-21,,143,fsv,angelina jolie is extraordinarily beautiful...,
1393,2016-11-12,,237,sheik_yerbouti,well, i had a piece of crap toyota celica but it died in portland and i got a ford ranger..,
1394,2019-04-11,,465,bischopscup,I'd like a Honda Accord.,
1395,2016-01-18,,232,rps_1899,But I miss Boston.,
1396,2019-12-07,,109,alex945,So when buying a car, buy from a good dealership and I would recommend avoiding Volkswagen at all costs, because if you ever have a problem, their Customer Care...,
1397,2015-01-09,,358,artykom,Along the sides of exit fly-over there were parallel parking spots for  attractive cars only  — the sign listed several criteria of which my crappy Honda qualified for none.,
1398,2019-10-22,,43,rps_1899,I hate the exodus of subarus and honda crv's and volvos.,
1399,2018-11-01,,447,hairy-conniption,Cs: I've heard San Francisco is beautiful..,
1400,2017-05-10,,9,mohamadi46,man, San Francisco life is so good...,
1401,2017-04-08,,382,artykom,I miss Boston so much it hurts sometimes, but I know that I'm really just missing this time of my life and the people from it...,
1402,2015-02-26,,39,odalv,I used to like Tom Cruise but the Matt Lauer interview really turned me off.,
1403,2016-12-19,,84,sudebala,And as stupid as San Francisco's road system is, we weren't able to turn back because of how all the roads are one-way streets.,
1404,2018-11-24,,350,odalv,We discoverd that Pierson Toyota sucks ass and can lick my non-existant balls(,
1405,2019-03-16,,344,cracking12345,mit nerds are dumb...,
1406,2016-05-20,,163,hairy-conniption,I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.,
1407,2018-08-30,,294,alex945,Tom Cruise sucks.,
1408,2017-04-15,,92,maharnav,I hate Tom Cruise..,
1409,2017-06-21,,386,rps_1899,, Boston is great...,
1410,2016-02-11,,447,odalv,I'd like to talk today about how much I hate Paris Hilton.....,
1411,2016-09-29,,249,hassan1365416,Shanghai is beautiful ~..,
1412,2019-07-26,,453,timequake,I liked Tom Cruise until he dumped Nicole Kidman.,
1413,2016-10-23,,241,hairy-conniption,i loved our car honda's are AWESOME....,
1414,2017-02-15,,332,youralterego,but, i really hate San Francisco, other than the food and i've been limiting my consumption of decadent foods lately.,
1415,2016-02-02,,384,maharnav,I took it to the store again, then my stupid MacBook is not working right.,
1416,2017-11-09,,230,timequake,As much as I love the Lakers and Kobe, I still have to state the facts...,
1417,2018-10-11,,466,rps_1899,I like Honda...,
1418,2019-11-12,,123,amateur07,I really, really hate TOM CRUISE.,
1419,2019-09-20,,496,cracking12345,As much as I hate Tom Cruise..,
1420,2017-02-03,,203,youralterego,i love seattle..,
1421,2015-07-04,,33,piley159,I hate Tom Cruise.,
1422,2016-08-30,,394,jerusseust,I hate London!!!!!!!,
1423,2017-03-09,,402,sheik_yerbouti,Stupid UCLA, deserves a good poking..,
1424,2017-05-11,,435,artykom,stupid, stupid UCLA..,
1425,2019-09-07,,492,maharnav,like i said purdue sucks still.....,
1426,2019-08-23,,430,f1984b,Information specifically related to ethan hawke angelina jolie can be difficult to find, but not when I hit this site-thanks.,
1427,2018-07-17,,403,alex945,hell ya i play on 2 basketball teams i love the lakers + pistons love both!!!!..,
1428,2018-04-18,,238,mmarvin,mostly these stupid guys with their shitty honda civics trying to sup them up like they are badass.,
1429,2018-11-07,,304,mohamadi46,i love our trips out to london pissed out of our faces on shitty booze...,
1430,2016-05-06,,391,mmarvin,The Lakers can suck me...,
1431,2016-10-14,,443,fsv,* Hillary Clinton's shameless attempts to rebrand herself as a red-state-friendly Democrat -- including her decision to sign on as a co-sponsor of an anti-flag burning bill...,
1432,2016-03-30,,72,maharnav,and i blame angelina jolie!,
1433,2018-01-30,,13,piley159,I hate Seattle..,
1434,2016-11-28,,211,amateur07,I love Angelina Jolie.,
1435,2015-09-02,,267,aminox,And I would love myself a Macbook ( to be used for number crunching, surfing, gaming, and word processing ) if not for anything than it's  cool  factor lol..,
1436,2016-05-25,,211,rexlex,I like Honda...,
1437,2015-04-13,,240,hairy-conniption,tom cruise sucks.,
1438,2018-12-30,,493,rps_1899,And the Dallas Mavericks were an excellent team.,
1439,2016-03-05,,429,mohamadi46,i love the people, i love my room, i love boston, and i love harvard...,
1440,2019-07-05,,131,f1984b,Love Story At Harvard [ awesome drama!,
1441,2018-05-06,,134,piley159,i expected the stupid hyundai sonata in front of me to move ahead..,
1442,2016-04-18,,21,hairy-conniption,George W Bush didn ’ t say that Democrats were evil, he toned it down to say: “ Don ’ t vote for Democrats because they will raise your taxes.,
1443,2016-02-01,,475,cracking12345,I love the lakers even tho Trav makes fun of me.,
1444,2019-06-11,,210,mohamadi46,I detest the homeless population of San Francisco.,
1445,2015-09-18,,144,stethoscopes,On a lighter note, I love my macbook.,
1446,2019-02-16,,270,harmon758,= D i love Tom Cruise!!!,
1447,2015-04-26,,458,youralterego,as cuticlesle, tho i hate london, i did love alittle bit about london..,
1448,2017-08-20,,192,tahastanly,ps i LOVE toyota and yeh you need a HIS AND HERS....,
1449,2019-05-30,,252,mohamadi46,stupid kids and their need for Honda emblems):,
1450,2018-09-08,,405,citrus2014,well i'm gonna go enjoy being in seattle.....,
1451,2019-10-06,,7,maharnav,The Paris Hilton call was a pretty good one I thought, better than Scott McGregor's comeback last year which was so lame that I forgot what it was....,
1452,2015-02-23,,103,tahastanly,i try to enjoy my time here in san francisco.......,
1453,2016-10-24,,323,hairy-conniption,I love my treo, my sony vaio, and macbook.,
1454,2019-05-02,,269,sosobanane,Information specifically related to angelina jolie make up can be difficult to find, but not when I hit this site-thanks.,
1455,2016-09-10,,397,tahastanly,I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.,
1456,2018-03-05,,102,mohamadi46,London yesterday kinda sucked tbh, well, the Houses of Parliament did anyway.,
1457,2016-11-03,,365,jerusseust,TAKE THAT STUPID UCLA!!!!!!!..,
1458,2016-10-30,,386,sosobanane,I hate Paris Hilton.,
1459,2017-01-25,,288,fsv,I used to like Tom Cruise but the Matt Lauer interview really turned me off.,
1460,2015-10-06,,24,sheik_yerbouti,I love the Toyota Prius.,
1461,2015-04-03,,51,nitsua49,There's only two real options that I see: a big city, like NYC or San Francisco, or out of country: England, Germany, Switzerland, maybe even Sweden or Holland...,
1462,2016-10-15,,44,piley159,God damn do I hate Volkswagen.,
1463,2015-09-30,,363,harmon758,Prolly going to Cambridge on Tuesday, I need to see MIT to survive till the rest of the term.,
1464,2019-05-21,,336,aminox,All san Francisco has are shitty little old apts in this price range...,
1465,2017-09-23,,289,craciun05,AAA's  Q  is catchy and an ear worm, like many of the things they've done.,
1466,2016-05-22,,178,sudebala,All san Francisco has are shitty little old apts in this price range...,
1467,2019-08-09,,249,youralterego,I like Honda...,
1468,2016-05-23,,1,citrus2014,With that said god i cant wait to go there, seattle is awesome.,
1469,2017-10-27,,102,f1984b,All san Francisco has are shitty little old apts in this price range...,
1470,2016-02-12,,492,tahastanly,TAKE THAT STUPID UCLA!!!!!!!..,
1471,2018-12-30,,323,stethoscopes,i'm currently watching love at harvard on youtube(,
1472,2016-05-19,,1,sudebala,and honda elements are assholes...,
1473,2015-05-26,,214,piley159,I would love to go Shanghai with sister..,
1474,2016-11-24,,176,hairy-conniption,MIT's Naxos Music Library subscription is AWESOME..,
1475,2017-07-19,,67,aminox,I like Honda...,
